"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}"
10,customer over all service sy happy or jo bhi extera charges thy usko phly hi bta diye gy,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,interest seems less And loan is available on zero balance,10,Promoters,Others
9,jaldi aproval aa gya tha,9,Promoters,Good previous experience / HC resolved my problem|I received the loan from HC when I was in need
9,"service is good 
EMI date is also very good",10,Promoters,Less Documents required for taking a loan / convenient loan application process
10,Loan Aasani se mil jata hai aur jyada charges bhi nhi lagta. overall Service bhut achhi hai Home credit ki.,10,Promoters,"Already recommended to my friends|Application Process - Easy, Fast and Convenient"
9,"service is good , time per service mil gai , overall is good.",9,Promoters,"Convenient repayment process / collection|Application Process - Easy, Fast and Convenient|Others"
10,all goood,8,Passive,No positive reason
9,"QUICK LOAN APPROVAL , EVERYTHING CAN BE ARRANGED ONLINE , SO DON'T NEED TO GO ANYWHERE",9,Promoters,Less Documents required for taking a loan / convenient loan application process|Others
9,मेरा काम जल्दी  जल्दी हो जाता है फाइनेंस करवाने में ज्यादा समय नहीं लगता,10,Promoters,Less Documents required for taking a loan / convenient loan application process
8,starting m file process m jyada time lga but usky bad aram sy ho gya finance,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Less Documents required for taking a loan / convenient loan application process
10,sb acha laga,10,Promoters,Customer care service is good|Quick loan approvals / Higher chances of loan getting approved
9,The customer got the product easily through finance.,10,Promoters,Already recommended to my friends|Quick loan approvals / Higher chances of loan getting approved
8,interest rate accha hain,7,Passive,No positive reason
8,auto debit ke bare me nhi btaya/ complete information nhi di,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,"finance process is good , because  charge kam laga  hai.",10,Promoters,Less Documents required for taking a loan / convenient loan application process|Quick loan approvals / Higher chances of loan getting approved
9,कम समय में जल्दी फाइनेंस हो गया था,10,Promoters,Customer care service is good
9,QUICK LOAN APPROVAL IS GOOD,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Others
9,kam Age me bhi loan mil gya.,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,We can take anything with Home Credit ID,10,Promoters,Overall satisfaction – Everything was ok/without problems
5,save pay hona cheyia,8,Passive,Overall satisfaction – Everything was ok/without problems
10,Home Credit ka Interest rate acha laga aur Turant Finance ho jata hai.,8,Passive,No positive reason
9,Service is good and financing is quick,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems
9,reminder call aati hai. date thik hai. interest  rate bhi thik  hai.,10,Promoters,I received the loan from HC when I was in need
10,sb acha hai,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Customer care service is good
9,Loan is availed quickly and all facilities are provided by Home Credit.,10,Promoters,Overall satisfaction – Everything was ok/without problems
6,customer care sy contact nhi ho pata jaldi sy or kisi chig ki jankari k liy dealer k pass jana padta h,8,Passive,Quick loan approvals / Higher chances of loan getting approved
9,"As I took the phone, the money is being deducted.",10,Promoters,HC removed my late payment charges/penalty charges|Overall satisfaction – Everything was ok/without problems
9,Home Credit me sab kuch acha laga aur time par Finance mil jata hai.,10,Promoters,Already recommended to my friends|Overall satisfaction – Everything was ok/without problems
9,"QUICK APPROVAL IS GOOD , ALL WORK DONE ONLINE , NO PAPER WORK , OVERALL GOOD SERVICE",10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Others
9,"I got the product easily from Home Credit, I liked it here.",10,Promoters,Others
10,customer ki baato ko suna jaata hai,10,Promoters,Customer care service is good
10,loan approval jaldi aa jata hain,9,Promoters,Good previous experience / HC resolved my problem|Quick loan approvals / Higher chances of loan getting approved
9,interest is low,10,Promoters,Overall satisfaction – Everything was ok/without problems
10,"1st time loan liya hai, 
everything is good",10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved
9,"EVERYTHING CAN BE ARRANGED ONLINE , DOESN'T NEED SO MUCH DOCUMENTATION",10,Promoters,Less Documents required for taking a loan / convenient loan application process
10,APPLICATION PROCESS IS GOOD . PAYMENT PROCESS IS GOOD.,10,Promoters,"Convenient repayment process / collection|I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
8,The customer wants to said that customer get more time to pay EMI,10,Promoters,I received the loan from HC when I was in need
9,ज्यादा समय नहीं लगता फाइनेंस करवाने में,10,Promoters,Quick loan approvals / Higher chances of loan getting approved
10,all good,10,Promoters,Overall satisfaction – Everything was ok/without problems
8,down payment thoda jayda hain,10,Promoters,Good previous experience / HC resolved my problem|I received the loan from HC when I was in need
9,Approval was received quickly and the interest rate was also good.,10,Promoters,"Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient"
5,interest rate kam hona cahiye. money card nahi bna hai.,2,Detractor,No positive reason
10,WHEN YOU NEED MONEY YOU WILL GET INSTANT LOAN FROM HC,10,Promoters,Others
9,Loan is available from Home Credit on zero balance.,10,Promoters,Already recommended to my friends
10,all good,10,Promoters,Overall satisfaction – Everything was ok/without problems
9,"emi process is good ,  time per  loan mil jata hai , customer ke shath good behaviour kiya gaya.",10,Promoters,"I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient"
10,fast process for finance,7,Passive,No positive reason
9,finance facility bhot acchii hai.,10,Promoters,Already recommended to my friends|Others
10,dealer ka bheaviour acha lga,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I trust HC / I know this company|I received the loan from HC when I was in need
10,all good,10,Promoters,Convenient repayment process / collection
9,quick loan approval service is good,10,Promoters,"Affordable Product & Services - Price, fees and terms|Overall satisfaction – Everything was ok/without problems"
10,जल्दी फाइनेंस हो गया था ज्यादा समय नहीं लगा,10,Promoters,"Customer care service is good|Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved"
8,emi bharne ke baad 1 week massage  nhi aaya .,10,Promoters,"I received the loan from HC when I was in need|Application Process - Easy, Fast and Convenient"
6,customer care ki service acchi nhi hai customer ki 1 bar bolne pr unki request nhi suni jati hai.,6,Detractor,No positive reason
5,interest rate kam hona cheyia,8,Passive,Already recommended to my friends
9,Home Credit me aasani se Finance ho jata hai yahi mujhe sabse jyada pasand aaya.,8,Passive,"Others|Overall satisfaction – Everything was ok/without problems|Application Process - Easy, Fast and Convenient"
10,quick approval and very easy application process,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved
5,S.A. Series के बारे में डीलर ने  पहले नहीं बताया था  खुद से  ऐड कर दिया था है लोन में,3,Detractor,Others
9,Home Credit se finance bhut jaldi se aur badi hi aasani se ho jata hai.,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient"
