"Numeric_Based on your overall experience, how would you evaluate Home Credit and its products and services?",What is the primary reason for your score?,"To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Group_To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?","Positive reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-,Other Choice-Others,"Neutral Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,"Negative Reasons
Why did you give a rating of {To what extent would you recommend Home Credit to your friends and colleagues? Use rating scale 0 to 10, where 0 means that you would not recommend it at all while 10 means you would definitely recommend it to your friends/colleagues.?}",Other Choice-,Other Choice-Others,Have you had any positive experience in using Home Credit services during the last year?,What specifically pleased you?,Have you had any Negative experience in using Home Credit services during the last year?,What problem(s) was it? Why were you not satisfied?,Please share your suggestions on how Home Credit can improve its products and services.
9,"QUICK LOAN APPROVAL , IT WILL TAKE LESS TIME",10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Others,,,INETEREST RATE IS ALSO GOOD,No neutral reason,,,No negative reason,,,No,,No,,NO SUGGESTION
9,shop keeper talks well,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,Yes,all good,No,,no suggestion.
9,Home credit did not bother us at all.... Checks do not bounce even if the loan is delayed in home credit....,10,Promoters,Others|Easily available in shops / Dealer recommendation,,,,Others,,,Others,,,Yes,Checks do not bounce even if the loan is delayed in home credit,No,,No suggestions
9,interest theek hai,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,No,,No,,no
9,PICHLA ANUBHAV ACHA THA INTEREST RATE THIK HAI SAB SAB KUCH ACHA  LAGA,10,Promoters,Overall satisfaction – Everything was ok/without problems|Good previous experience / HC resolved my problem|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,FAST PROCESS HAI FAST SERVICE HAI,No,,NO SUGGESTION
9,Exact EMI Amount is deducted from customer account,10,Promoters,Convenient repayment process / collection,,,,No neutral reason,,,No negative reason,,,Yes,"Customer care service is Good
Reminder call for due EMI",No,,No Suggestion
9,sb kuch acha lga but old customers ko acha discount milna chiye,8,Passive,No positive reason,,,,I don’t like to recommend to anyone.|Will recommend but am not sure whether they will take it or not,,,No negative reason,,,Yes,eak acha experience y rha ki ismay aap eak kist skip kr skty h,No,,old customers ko discount acha milna chiye
9,kbhi EMI late home par bi koi fine nhi lgta hai koi extra fine nhi lete hai,10,Promoters,HC removed my late payment charges/penalty charges|Overall satisfaction – Everything was ok/without problems|Easily available in shops / Dealer recommendation,,,,No neutral reason,,,No negative reason,,,Yes,all good,No,,"everything is good  
no suggestion."
9,experience was good with home credit,10,Promoters,Overall satisfaction – Everything was ok/without problems|Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,"quick approval is good , less time consuming , you will get instant loan",Yes,calls is too much as per customer opinion,"as per customer opinion calls is too much , so calls should be reduce while you had ,mention the reason behind late payment of your EMI"
8,Sab kuch thik hai lekin bass Customer ke pass Home Credit ki taraf se calls bhut aate hai.,10,Promoters,Others|HC removed my late payment charges/penalty charges,,,Down-Payment kam lagta hai Home Credit me.,No neutral reason,,,No negative reason,,,No,,No,,"Customer ke pass Home Credit ki taraf se calls bhut aate hai, ye thodi kam honi chahiye."
9,ALL GOOD,10,Promoters,Already recommended to my friends,,,,No neutral reason,,,No negative reason,,,No,,No,,NO
9,service bhot fast hai,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Customer care service is good,,,,No neutral reason,,,No negative reason,,,Yes,service ache hai,No,,no
9,FAST PROCESS HAI EMI CHARGES THODE JADA LIY GAYE BATAYA NHI GYA INSURANCE CARD NHI DIYA JAYA DENA CHAHIYE USKE BARE MAI PROPERLY BATAYA NHI GYA BAKI ANUBHAV ACHA HAI SANTUST HAI SERVICE SE,7,Passive,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved",,,,No neutral reason,,,No negative reason,,,No,,No,,CUSTOMER KO SAFE PAY KIY LIY GAYE CHARGES KE BARE MAI CUSTOMER KO BATANA CHAHIYE DETAIL MAI INSURANCE KE LIY CARD DIYA JANA CHAHIYE
9,Customer received the loan when he needed,10,Promoters,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient",,,,No neutral reason,,,No negative reason,,,No,,No,,No Suggestion
9,service's acchi hai,10,Promoters,Customer care service is good,,,,No neutral reason,,,No negative reason,,,No,,No,,no suggestion.
9,time per loan mil jata hain,8,Passive,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,customer ko loan time per mil jata hain,No,,interest rate kam hona chayai
7,call or massage jayda karte hai . everything is good.,8,Passive,I received the loan from HC when I was in need,,,,Others,,call jayda aati hai,Too many calls/SMS bothering customer,,,Yes,time per approval mil gaya .,No,,call or massage  jayda na kre.
9,file process acha lga asani sy ho gya tha,10,Promoters,"Application Process - Easy, Fast and Convenient|Less Documents required for taking a loan / convenient loan application process",,,,No neutral reason,,,No negative reason,,,Yes,file process or dealer ka behivior acha lga,No,,no suggection
9,finance process accha hai.,10,Promoters,"Affordable Product & Services - Price, fees and terms",,,,No neutral reason,,,No negative reason,,,Yes,month me kbhi bi emi pay kr skte hai,No,,har month aasani se emi bhrr dete hai.
9,JALDI APPROVAL MIL JATA ASAN PROCESS HAI,7,Passive,No positive reason,,,,Will recommend but am not sure whether they will take it or not,,,No negative reason,,,Yes,EMI PAYMENT PROCESS ACHA HAI CALLS KARKE EMI PAYMENT KE LIY CALL NHI AATE,No,,NO SUGGESTION
9,"first time approval , that was very good in HC",10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,"first time approval , that was good thing in home credit , quick loan approved",No,,no suggestion
9,payment to easy home credit,10,Promoters,No positive reason|Good previous experience / HC resolved my problem,,,,Others,,,Others,,,Yes,everything was good,No,,wifi network to improve to home credit application
6,cheak bounce  hone per per civil score gir jata hai .,8,Passive,No positive reason,,,,"Yes, I will recommend the brand to people I know|Others",,INTEREST RATE KAM HAI,No negative reason,,,Yes,PROCESS EASY HAI.,Yes,CIVIL SCORE GIRA DIYA GAYA .,no SUGGESTION
10,time to time loan available,9,Promoters,Others|Easily available in shops / Dealer recommendation,,,,Others,,,Others,,,Yes,fast process,No,,no suggestions
8,very good fast,6,Detractor,"Application Process - Easy, Fast and Convenient",,,,I don’t like to recommend to anyone.,,,Rude behavior towards customers - Unprofessional attitude by HC executive,,,No,,No,,first time no
9,"FINANCE  FACILITY IS GOOD , TAKI HAME GOOD OFFER MIL SAKE , EASY AND FAST PROCESS  , NEED KE ACCORDING LOAN MIL GAYA.",10,Promoters,"Application Process - Easy, Fast and Convenient|Convenient repayment process / collection|Others",,,LOAN LENA ACHA LAGA.,"Yes, I will recommend the brand to people I know",,,No negative reason,,,Yes,"PRODUCTS IS GOOD , OFFER  FACILITY IS GOOD",No,,NO SUGGESTION
9,Loans are easily available to buy any item.,10,Promoters,Customer care service is good,,,,Others,,,Others|Bad service quality / Problems with service/Bad experience,,,No,,No,,I have no idea so I can't make any suggestions.
8,JADA INTEREST RATE HAI KAM HONA CHAHIYE INTEREST RATE,6,Detractor,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,JALDI APPROVAL MIL JATA HAI HOME CREDIT MAI,No,,INTEREST RATE KAM HONA CHAHIYE TAKI AUR CUSTOMER JUD SAKE
9,approval jaldi aa jata hai,10,Promoters,Customer care service is good|Convenient repayment process / collection|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,approvel jaldi aata hain and EMI bhrne ka tarika aasan hain,No,,no suggestion
10,They didn't deduct extra charges in case of late EMI,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,No,,No,,No Suggestion
10,service is good like dealer behaviour is so good,10,Promoters,Customer care service is good|I received the loan from HC when I was in need|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,"less documentation , you don't go anywhere , all work done online through app",No,,No suggestion
10,JADLI APPROVAL MIL JATA HAI,8,Passive,"Quick loan approvals / Higher chances of loan getting approved|Application Process - Easy, Fast and Convenient|Customer care service is good",,,,No neutral reason,,,No negative reason,,,No,,No,,NO SUGGESTION
8,Sab kuch thik hai hai lekin abhi ke liye itna hi rating de skte hai.,10,Promoters,"Others|Application Process - Easy, Fast and Convenient",,,"Home Credit ki Loan Service achhi lagi, aasan kisto me Saaman mil jata hai.",No neutral reason,,,No negative reason,,,No,,No,,Na
9,all  service sy customer happy h,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,sab kuch thik lga,No,,no suggection
10,service achi hai,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,service achi hai,No,,no
9,good loan app,9,Promoters,"Application Process - Easy, Fast and Convenient|Customer care service is good|Overall satisfaction – Everything was ok/without problems",,,,No neutral reason,,,No negative reason,,,Yes,mobilepurchase,No,,
10,Good service and a loan is available from time to time,10,Promoters,Others|Customer care service is good|Easily available in shops / Dealer recommendation,,,,Others,,,Others,,,Yes,a loan is available from time to time ..I want to get loan after 3 months ...Good service,No,,no suggestions
8,Abhi ke liye itna hi Rating de skte hai baaki sab kuch thik hai.,9,Promoters,Customer care service is good,,,,Will recommend but am not sure whether they will take it or not,,,No negative reason,,,No,,No,,NA
10,loan approval jaldi aajata hai all good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,Yes,jab bi need hoti hai paiso ki time se loan mil jata hai.,No,,INTEREST RATE KAM HONA CHAIYE
10,DOCUMENT KAM LAGTE HAI / SERVICE ACHI HAI,10,Promoters,Customer care service is good|Less Documents required for taking a loan / convenient loan application process,,,,No neutral reason,,,No negative reason,,,No,,No,,NO
5,call aati hai baar baar preshan kiya jata hai calls nhi karni chahiye,8,Passive,No positive reason,,,,No neutral reason,,,Too many calls/SMS bothering customer,,,Yes,process bhot jada fast hai,Yes,extra calls karke preshan karte,no suggsetion
10,Down-Payment kam lagta hai aur Payment karne ke liye bhut time mill jata hai. bass Home Credit ke taraf se calls bhut aate hai wo thoda sa kam hona chahiye.,10,Promoters,I received the loan from HC when I was in need,,,,No neutral reason,,,No negative reason,,,No,,No,,Bass Home Credit ke taraf se calls bhut aate hai wo thoda sa kam hona chahiye.
8,application process is not good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems,,,,"Yes, I will recommend the brand to people I know",,,No negative reason,,,Yes,EMI auto debit ho jata hain,No,,everything is good
8,SERVICE ACHI LGI,10,Promoters,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved",,,,No neutral reason,,,No negative reason,,,Yes,ASANI SY LOAN MILL GYA OR JALDI HO GYA,No,,NO SUGGECTION
10,Loans are easily available.,10,Promoters,Overall satisfaction – Everything was ok/without problems|HC removed my late payment charges/penalty charges,,,,Others,,,Others,,,No,,No,,There is no suggestion that the first loan was taken.
8,autodebit lagne ke bad  bi emi apne ap nhi kat ti hai isse customer ka aage ke liye cibil score kharb ho skta hai,7,Passive,No positive reason,,,,No neutral reason,,,High interest rate,,,Yes,aasani se phone finance hogya tha.,No,,no suggestion.
9,"products is good , interest rate kam hai.",7,Passive,"Application Process - Easy, Fast and Convenient",,,,Others,,emi ke liye store pass mai nhi hai,No negative reason,,,Yes,emi facility is good .,No,,"no suggestion, but  products ki  limite badai  jaay , store pass mai hai"
10,"dealer behaviour is good , he explain  everything in very good manner",10,Promoters,Quick loan approvals / Higher chances of loan getting approved,,,,No neutral reason,,,No negative reason,,,Yes,"service is good like dealer behaviour , quick application process",No,,down payment should be less and it should be 0 finance
7,abhi ke liye itna hi Rating denge baaki sab kuch thik hai.,10,Promoters,"Others|Application Process - Easy, Fast and Convenient",,,Finance bhut jaldi ho jata hai.,No neutral reason,,,No negative reason,,,No,,No,,Na
10,jarurat ke tima par finance mil gaya home credit se acha laga,10,Promoters,I received the loan from HC when I was in need|Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,jarurat ke time par finance mil gaya home credit se jaldi loan mil gya jada time nhi laga,No,,no suggestion
10,FINANCE ACTIVITY PASAND AI,9,Promoters,Less Documents required for taking a loan / convenient loan application process|Others,,,INTREST ACHA LGA,No neutral reason,,,No negative reason,,,Yes,KOI OTHER CHARGES NAHI LGTY H,No,,KHUD KA CREDIT CARD BNAY OR HAR TYPE K LOAN PROVIDE KARNY CHIYE
8,bill jama karne ke baad dobara  se kat gaya. emi jayda kat gai.,10,Promoters,Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,loan time per mil gaya easy process .,No,,"products is not available , online facility ki jaay."
6,interest rate jada hai kam hona chahiye dost ko dilana chahte the unka nhi ho paya finance,6,Detractor,"Application Process - Easy, Fast and Convenient|Quick loan approvals / Higher chances of loan getting approved",,,,No neutral reason,,,No negative reason,,,No,,No,,interest rate kam hona chahiye
10,credit card services is good,10,Promoters,Quick loan approvals / Higher chances of loan getting approved|Overall satisfaction – Everything was ok/without problems,,,,No neutral reason,,,No negative reason,,,Yes,credit card service is good,No,,loan mein GST kam katana chayi
